Study;Subsample;Clusters;Pairs;Measure;MonoN;MonoMean;MonoSD;BiN;BiMean;BiSD;Year_0f_Publication;Peer;Country;Sample description;L1;L2;LanguagePair;AgeGroup;B_AgeM;B_AgeSD;M_AgeM;M_AgeSD;AoA_early;AoA_child;Prof_L2;Immigrant;IQ_match;Educ_match;Vocab_match;Stimuli;StimulusMaterial;TestingLanguage;Task;Domain;TaskMeasure;MeasureType;TaskVersion;RT/ACC;Reverse 
Suarez (2013);1;190;238;876;47;91,4;44,4;42;69,9;29,4;2013;other;USA;Younger adults;SPA;ENG;EngSpa;younger;36,4;10,9;36,6;9,2;NA;NA;NA;One;NA;1;1;Numbers and letters;V;0;TrailMaking;Shifting;TrailShifting;TrailB;TrailMaking;1;
Suarez (2013);1;190;238;884;47;14,7;9,1;42;13,4;9,9;2013;other;USA;Younger adults;SPA;ENG;EngSpa;younger;36,4;10,9;36,6;9,2;NA;NA;NA;One;NA;1;1;Cards with shapes;V;0;WisconsinCardSorting;Shifting;WisconsinCardSorting;PerseverativeErr;WisconsinCardSorting;2;
Suarez (2013);1;190;238;334;42;10,1;2,1;47;9;1,9;2013;other;USA;Younger adults;SPA;ENG;EngSpa;younger;36,4;10,9;36,6;9,2;NA;NA;NA;One;NA;1;1;Letters and numbers (L1);V;1;LNS;WM;LNS;LNS;LetterNumberSequence;3;reversed
Suarez (2013);1;190;238;584;42;13,3;3,3;47;10,9;2,7;2013;other;USA;Younger adults;SPA;ENG;EngSpa;younger;36,4;10,9;36,6;9,2;NA;NA;NA;One;NA;1;1;Digits (L1);V;1;SimpleSpan;WM;SimpleSpan;All;DigitSpan;3;reversed
Taler et al. (2013);1;191;239;78;37;24,03;6,93;32;24,28;5,82;2013;peer;CAN;Young adults;ENG;FRE;EngFre;younger;21,53;2,31;21,63;1,56;other;other;high;Three;NA;1;3;Animals (L1/L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Taler et al. (2013);1;191;239;302;38;37,37;10,33;32;40,28;13,53;2013;peer;CAN;Young adults;ENG;FRE;EngFre;younger;21,53;2,31;21,63;1,56;other;other;high;Three;NA;1;3;Letters FAS (L1/L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Taler et al. (2013);1;191;239;750;31;52,16;12,73;37;53,41;11,59;2013;peer;CAN;Young adults;ENG;FRE;EngFre;younger;21,53;2,31;21,63;1,56;other;other;high;Three;NA;1;3;Words (no information on L1/L2);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Taler et al. (2013);1;191;239;885;38;4,64;0,68;32;4,19;1,12;2013;peer;CAN;Young adults;ENG;FRE;EngFre;younger;21,53;2,31;21,63;1,56;other;other;high;Three;NA;1;3;Cards with shapes;V;0;WisconsinCardSorting;Shifting;WisconsinCardSorting;CompletedCat;WisconsinCardSorting;3;reversed
Taler et al. (2013);1;191;239;585;38;19,52;4,43;32;17,94;4,25;2013;peer;CAN;Young adults;ENG;FRE;EngFre;younger;21,53;2,31;21,63;1,56;other;other;high;Three;NA;1;3;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;All;DigitSpan;3;reversed
Bak et al. (2014);1;7;9;848;23;9;1,4;19;8,16;2,3;2014;peer;UK;University students;ENG;NA;other;younger;21,3;1,7;22,2;1,6;early;child;high;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Attention;TEAselective;TEAselective;TEA;3;reversed
Bak et al. (2014);1;7;9;849;23;9,17;1,5;19;7,53;2,6;2014;peer;UK;University students;ENG;NA;other;younger;21,3;1,7;22,2;1,6;early;child;high;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Shifting;TEAshifting;TEAshifting;TEA;3;reversed
Bak et al. (2014);2;7;10;850;18;9,72;0,5;19;8,16;2,3;2014;peer;UK;University students;ENG;NA;other;younger;23,6;4,3;22,2;1,6;other;other;high;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Attention;TEAselective;TEAselective;TEA;3;reversed
Bak et al. (2014);2;7;10;851;18;6,83;0,5;19;6,89;0,3;2014;peer;UK;University students;ENG;NA;other;younger;23,6;4,3;22,2;1,6;other;other;high;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Attention;TEAsustained;TEAsustained;TEA;3;reversed
Bak et al. (2014);2;7;10;852;18;9;1,8;19;7,53;2,6;2014;peer;UK;University students;ENG;NA;other;younger;23,6;4,3;22,2;1,6;other;other;high;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Shifting;TEAshifting;TEAshifting;TEA;3;reversed
Bak et al. (2014);3;8;11;853;19;8,89;1,07;19;7,94;1,32;2014;peer;UK;University students;ENG;NA;other;younger;22,9;3,3;21,5;1;other;other;NA;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Attention;TEAselective;TEAselective;TEA;3;reversed
Bak et al. (2014);3;8;11;854;19;8,16;1,6;19;7,37;1,42;2014;peer;UK;University students;ENG;NA;other;younger;22,9;3,3;21,5;1;other;other;NA;NA;NA;1;NA;Tape-presented tones;NV;NA;TEA;Shifting;TEAshifting;TEAshifting;TEA;3;reversed
Bialystok et al. (2014);1;23;30;683;27;106;29,1;44;112,3;20,2;2014;peer;CAN;Undergraduate psychology students;ENG;> 2;other;younger;20,4;2,2;20,3;2,5;early;child;high;NA;1;1;3;Words (ENG/L1, L2);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Bialystok et al. (2014);2;24;31;684;25;143,6;32,4;34;129;30;2014;peer;CAN;Volunteers from senior research pool;ENG;> 2;other;older;67,6;4,5;71,3;5,1;other;child;high;NA;1;NA;3;Words (ENG/L1, L2);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Blumenfeld & Adams (2014);1;32;40;499;27;16,9;3,8;27;17,5;4,7;2014;peer;USA;Young adults;ENG;SPA;EngSpa;younger;21,3;3,1;22,8;2,9;other;child;high;NA;NA;1;3;Numbers (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Blumenfeld & Marian (2014);1;35;44;49;30;16,4;3;30;16,7;4,5;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;22;5,2;21,4;3,9;other;child;high;NA;1;1;1;"Category cues; _animals, vegetables and clothesÓ or _colours and fruitsÓ (ENG/L1)";V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Blumenfeld & Marian (2014);1;35;44;275;30;13,3;2,7;30;13,9;3,4;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;22;5,2;21,4;3,9;other;child;high;NA;1;1;1;Letters EPM or ALC (ENG/L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Blumenfeld & Marian (2014);1;35;44;641;30;93,6;31,7;30;82,7;30,2;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;22;5,2;21,4;3,9;other;child;high;NA;1;1;1;Simon Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Blumenfeld & Marian (2014);1;35;44;660;30;91,7;30,6;30;91,7;28,9;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;22;5,2;21,4;3,9;other;child;high;NA;1;1;1;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Blumenfeld & Marian (2014);1;35;44;503;30;17,6;2,5;30;17,5;2,1;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;22;5,2;21,4;3,9;other;child;high;NA;1;1;1;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;All;DigitSpan;3;reversed
Blumenfeld & Marian (2014);2;36;45;50;60;14,2;3,4;60;15,6;2,8;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;21,7;3,1;22,2;3,8;other;child;high;NA;1;1;1;"Category cues; _animals, vegetables and clothesÓ or _colours and fruitsÓ (ENG/L2)";V;2;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Blumenfeld & Marian (2014);2;36;45;276;60;12,6;3,3;60;14;3,4;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;21,7;3,1;22,2;3,8;other;child;high;NA;1;1;1;Letters EPM or ALC (ENG/L2);V;2;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Blumenfeld & Marian (2014);2;36;45;642;60;84,3;32,2;60;86,2;33,6;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;21,7;3,1;22,2;3,8;other;child;high;NA;1;1;1;Simon Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Blumenfeld & Marian (2014);2;36;45;661;60;79,5;29,7;60;88,6;39,1;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;21,7;3,1;22,2;3,8;other;child;high;NA;1;1;1;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Blumenfeld & Marian (2014);2;36;45;643;60;503,8;135,55;60;492,3;55;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;21,7;3,1;22,2;3,8;other;child;high;NA;1;1;1;Simon Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;GlobalRT;SpatialStroop;1;
Blumenfeld & Marian (2014);2;36;45;504;60;16,6;3,9;60;18;4,2;2014;peer;USA;University students;ENG;SPA;EngSpa;younger;21,7;3,1;22,2;3,8;other;child;high;NA;1;1;1;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Coderre & van Heuven (2014a);1;50;62;376;18;26;15,3;19;23,6;13,3;2014;peer;UK;Young adults;ENG;GER;other;younger;26;6;21;2;other;child;high;NA;NA;NA;NA;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Coderre & van Heuven (2014a);1;50;62;691;18;72,1;29,5;19;51,2;47,2;2014;peer;UK;Young adults;ENG;GER;other;younger;26;6;21;2;other;child;high;NA;NA;NA;NA;Words (L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Coderre & van Heuven (2014a);1;50;62;377;18;442,2;48,1;19;430;38,2;2014;peer;UK;Young adults;ENG;GER;other;younger;26;6;21;2;other;child;high;NA;NA;NA;NA;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;GlobalRT;SimonColors;1;
Coderre & van Heuven (2014a);1;50;62;692;18;611,3;83,7;19;603,6;99,3;2014;peer;UK;Young adults;ENG;GER;other;younger;26;6;21;2;other;child;high;NA;NA;NA;NA;Words (L1);V;1;Stroop;Monitoring;StroopMonitoring;GlobalRT;StroopWordColor;1;
Coderre & van Heuven (2014a);2;50;63;378;18;26;15,3;22;28,7;17,8;2014;peer;UK;Young adults;ENG;POL;other;younger;25;5;21;2;other;child;high;NA;NA;NA;NA;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Coderre & van Heuven (2014a);2;50;63;693;18;72,1;29,5;22;53;28,8;2014;peer;UK;Young adults;ENG;POL;other;younger;25;5;21;2;other;child;high;NA;NA;NA;NA;Words (L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Coderre & van Heuven (2014a);2;50;63;379;18;442,2;48,1;22;430,2;42,3;2014;peer;UK;Young adults;ENG;POL;other;younger;25;5;21;2;other;child;high;NA;NA;NA;NA;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;GlobalRT;SimonColors;1;
Coderre & van Heuven (2014a);2;50;63;694;18;611,3;83,7;22;585;74,1;2014;peer;UK;Young adults;ENG;POL;other;younger;25;5;21;2;other;child;high;NA;NA;NA;NA;Words (L1);V;1;Stroop;Monitoring;StroopMonitoring;GlobalRT;StroopWordColor;1;
Coderre & van Heuven (2014a);3;50;64;380;18;26;15,3;17;25,9;17,4;2014;peer;UK;Young adults;ENG;ARA;other;younger;26;4;21;2;other;other;high;NA;NA;NA;NA;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Coderre & van Heuven (2014a);3;50;64;695;18;72,1;29,5;17;25,1;30,5;2014;peer;UK;Young adults;ENG;ARA;other;younger;26;4;21;2;other;other;high;NA;NA;NA;NA;Words (L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Coderre & van Heuven (2014a);3;50;64;381;18;442,2;48,1;17;457,4;37,3;2014;peer;UK;Young adults;ENG;ARA;other;younger;26;4;21;2;other;other;high;NA;NA;NA;NA;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;GlobalRT;SimonColors;1;
Coderre & van Heuven (2014a);3;50;64;696;18;611,3;83,7;17;633;68,9;2014;peer;UK;Young adults;ENG;ARA;other;younger;26;4;21;2;other;other;high;NA;NA;NA;NA;Words (L1);V;1;Stroop;Monitoring;StroopMonitoring;GlobalRT;StroopWordColor;1;
Coderre & van Heuven (2014b);1;51;65;697;28;70,5;59;25;54,96;54,7;2014;peer;UK;Young adults;ENG;MAN;EngChi;younger;23,4;4;22,2;5,4;other;other;other;NA;NA;2;NA;Words (MAN/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Coderre & van Heuven (2014b);1;51;65;698;28;615,3;89,1;25;558,6;88,2;2014;peer;UK;Young adults;ENG;MAN;EngChi;younger;23,4;4;22,2;5,4;other;other;other;NA;NA;2;NA;Words (MAN/L1);V;1;Stroop;Monitoring;StroopMonitoring;GlobalRT;StroopWordColor;1;
Heidlmayr et al. (2014);1;86;104;703;31;62,1;41,74;33;43,3;26,95;2014;peer;FRA/GER/AUT;Young adults;FRA;GER;other;younger;NA;NA;25,2;4,1;other;other;high;NA;NA;NA;NA;Words (FRE/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Heidlmayr et al. (2014);1;86;104;704;31;618,9;106,5;33;632,5;76,2;2014;peer;FRA/GER/AUT;Young adults;FRA;GER;other;younger;NA;NA;25,2;4,1;other;other;high;NA;NA;NA;NA;Words (FRE/L1);V;1;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;1;
Kirk et al. (2014);1;104;126;392;16;85,4;85,4;16;90,3;104;2014;peer;UK;Older adults;ENG (SSE);GAE;other;older;69,8;5,5;69,5;8,6;NA;NA;NA;Three;1;NA;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Kirk et al. (2014);1;104;126;393;16;650,99;95,06;16;639,35;132,5;2014;peer;UK;Older adults;ENG (SSE);GAE;other;older;69,8;5,5;69,5;8,6;NA;NA;NA;Three;1;NA;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;GlobalRT;SimonColors;1;
Kirk et al. (2014);2;104;127;394;16;85,4;85,4;16;94,9;55;2014;peer;UK;Older adults;ENG;> 2;other;older;72,6;7,3;69,5;8,6;NA;NA;NA;One;1;NA;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Kirk et al. (2014);2;104;127;395;16;650,99;95,06;16;761,59;203,01;2014;peer;UK;Older adults;ENG;> 2;other;older;72,6;7,3;69,5;8,6;NA;NA;NA;One;1;NA;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;GlobalRT;SimonColors;1;
Kirk et al. (2014);3;104;128;396;16;85,4;85,4;16;81,6;51,7;2014;peer;UK;Older adults;ENG (SSE);DUN;other;older;72,4;8,2;69,5;8,6;NA;NA;NA;Three;1;NA;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Kirk et al. (2014);3;104;128;397;16;650,99;95,06;16;655,69;180,3;2014;peer;UK;Older adults;ENG (SSE);DUN;other;older;72,4;8,2;69,5;8,6;NA;NA;NA;Three;1;NA;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;GlobalRT;SimonColors;1;
Kousaie et al. (2014);1;106;130;353;40;4,58;3,38;51;4,88;4,39;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SART;Attention;SART;SART_Acc;SART;2;
Kousaie et al. (2014);1;106;131;351;30;3,45;2,38;51;4,88;4,39;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SART;Attention;SART;SART_Acc;SART;2;
Kousaie et al. (2014);1;106;130;57;51;23,96;5,77;40;25,02;5,9;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Animals (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Kousaie et al. (2014);1;106;131;58;51;23,96;5,77;30;23;5,07;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Animals (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Kousaie et al. (2014);1;106;130;284;51;37,24;10,26;40;39,95;12,83;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;FAS (counterbalanced ENG, FRE or bilingual administration);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Kousaie et al. (2014);1;106;131;285;51;37,24;10,26;30;38,27;8,26;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;FAS (counterbalanced ENG, FRE or bilingual administration);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Kousaie et al. (2014);1;106;130;669;40;564,59;97,02;50;549,93;71,09;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Incongruent;SpatialStroop;1;
Kousaie et al. (2014);1;106;131;667;29;523,29;53,75;50;549,93;71,09;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Incongruent;SpatialStroop;1;
Kousaie et al. (2014);1;106;130;726;39;25,67;7;48;22,39;9,53;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;2;
Kousaie et al. (2014);1;106;131;729;30;38,1;11,86;48;22,39;9,53;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;2;
Kousaie et al. (2014);1;106;131;670;29;425,3;103,18;50;396,64;50,93;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
Kousaie et al. (2014);1;106;130;668;40;400,09;62,76;50;396,64;50,93;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
Kousaie et al. (2014);1;106;130;727;48;76,39;11,24;39;78,85;14,02;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;2;reversed
Kousaie et al. (2014);1;106;131;728;48;76,39;11,24;30;86,77;14,37;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;2;reversed
Kousaie et al. (2014);1;106;130;880;51;4,47;1,12;40;4,4;0,78;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Cards with shapes;V;0;WisconsinCardSorting;Shifting;WisconsinCardSorting;CompletedCat;WisconsinCardSorting;3;reversed
Kousaie et al. (2014);1;106;131;881;51;4,47;1,12;30;4,7;0,47;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Cards with shapes;V;0;WisconsinCardSorting;Shifting;WisconsinCardSorting;CompletedCat;WisconsinCardSorting;3;reversed
Kousaie et al. (2014);1;106;130;542;51;7,8;2,49;40;6,98;2,07;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Kousaie et al. (2014);1;106;131;543;51;7,8;2,49;30;8,4;2,66;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Kousaie et al. (2014);1;106;130;540;51;11,41;2,37;40;10,98;1,99;2014;peer;CAN;Younger participants;ENG;FRE;EngFre;younger;21,49;2,26;21,48;1,5;other;other;high;Three;NA;1;3;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Kousaie et al. (2014);1;106;131;541;51;11,41;2,37;30;12,2;2,19;2014;peer;CAN;Younger participants;FRE;ENG;EngFre;younger;21,49;2,26;21,8;2,47;other;other;high;Three;NA;1;1;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Kousaie et al. (2014);2;107;133;354;30;1,1;1,5;36;1,8;1,83;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SART;Attention;SART;SART_Acc;SART;2;
Kousaie et al. (2014);2;107;132;355;31;2,03;1,89;36;1,8;1,83;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SART;Attention;SART;SART_Acc;SART;2;
Kousaie et al. (2014);2;107;132;59;36;19,17;6,41;31;20,68;4,58;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Animals (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Kousaie et al. (2014);2;107;133;60;36;19,17;6,41;30;18,27;4,62;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Animals (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Kousaie et al. (2014);2;107;133;287;36;37;13,26;30;36,36;10,13;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;FAS (counterbalanced ENG, FRE or bilingual administration);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Kousaie et al. (2014);2;107;132;286;36;37;13,26;31;44,1;10;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;FAS (counterbalanced ENG, FRE or bilingual administration);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Kousaie et al. (2014);2;107;132;730;31;30,1;8,89;36;23,22;9,6;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;2;
Kousaie et al. (2014);2;107;133;731;30;40,7;12,05;36;23,22;9,6;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;2;
Kousaie et al. (2014);2;107;133;674;29;800,91;201,05;33;817,18;156,48;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Incongruent;SpatialStroop;1;
Kousaie et al. (2014);2;107;132;673;30;822,96;162,23;33;817,18;156,48;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Incongruent;SpatialStroop;1;
Kousaie et al. (2014);2;107;133;672;29;611,43;152,17;33;634,2;127,07;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
Kousaie et al. (2014);2;107;132;671;30;622,55;130,77;33;634,2;127,07;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
Kousaie et al. (2014);2;107;132;732;36;59,94;12,57;31;64,87;11,73;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;2;reversed
Kousaie et al. (2014);2;107;133;733;36;59,94;12,57;30;73,1;14,07;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Words (counterbalanced ENG, FRE or bilingual administration);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;2;reversed
Kousaie et al. (2014);2;107;132;882;36;3,5;1,21;31;3,5;1,22;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Cards with shapes;V;0;WisconsinCardSorting;Shifting;WisconsinCardSorting;CompletedCat;WisconsinCardSorting;3;reversed
Kousaie et al. (2014);2;107;133;883;36;3,5;1,21;30;4,07;0,69;2014;peer;CAN;Older participants;FRE;ENG;EngFre;older;70,69;5,86;72,6;6,59;other;other;high;Three;NA;1;1;Cards with shapes;V;0;WisconsinCardSorting;Shifting;WisconsinCardSorting;CompletedCat;WisconsinCardSorting;3;reversed
Kousaie et al. (2014);2;107;132;546;36;7,06;2,19;31;7,87;2,05;2014;peer;CAN;Older participants;ENG;FRE;EngFre;older;70,69;5,86;72,26;6,43;other;other;high;Three;NA;1;3;Digits (counterbalanced ENG, FRE or bilingual administration);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
